// Melia
// Database file
// 
// Class ID, Class Name, Name, Required Items, Reward Properties, Reward Account Properties, Reward Items
//---------------------------------------------------------------------------

[
{ classId: 140, className: "COLLECT_140", name: "Collection: Ramstis Ridge", requiredItems: ["misc_0056","misc_0057","misc_chupacabra_desert2","Hat_628061"], rewardAccountProperties: "", rewardItems: "" },
{ classId: 141, className: "COLLECT_141", name: "Collection: Overlong Bridge Valley", requiredItems: ["misc_0058","misc_0126","misc_Dumaro","BRC01_129","TOP01_107","LEG01_111","TOP01_111"], rewardAccountProperties: "", rewardItems: "" },
{ classId: 142, className: "COLLECT_142", name: "Collection: Akmens Ridge", requiredItems: ["misc_0059","misc_Sauga_s3","misc_Ticen","misc_Tucen","misc_jore09"], rewardAccountProperties: "", rewardItems: "" },
{ classId: 143, className: "COLLECT_143", name: "Collection: Tiltas Valley", requiredItems: ["misc_0060","misc_0061","SPR01_104","TBW01_109","STF01_109"], rewardAccountProperties: "", rewardItems: "" },
{ classId: 144, className: "COLLECT_144", name: "Collection: Gytis Settlement Area", requiredItems: ["misc_0153","misc_Sakmoli","misc_0128","misc_Repusbunny"], rewardAccountProperties: "", rewardItems: "" },
{ classId: 145, className: "COLLECT_145", name: "Collection: Royal Mausoleum Workers Lodge", requiredItems: ["BlueOrb_FD_woodgoblin_black","RedOrb_FD_woodgoblin_black","BlueOrb_FD_Bushspider_purple","RedOrb_FD_Bushspider_purple","BlueOrb_FD_pappus_kepa_purple","RedOrb_FD_pappus_kepa_purple","BlueOrb_FD_colimen","RedOrb_FD_colimen"], rewardAccountProperties: "", rewardItems: "" },
{ classId: 146, className: "COLLECT_146", name: "Collection: Royal Mausoleum Constructors' Chapel", requiredItems: ["BlueOrb_FD_spectra","RedOrb_FD_spectra","BlueOrb_FD_Spector_gh_purple","RedOrb_FD_Spector_gh_purple","BlueOrb_FD_whip_vine_purple","RedOrb_FD_whip_vine_purple","BlueOrb_colimen_mage","RedOrb_colimen_mage"], rewardAccountProperties: "", rewardItems: "" },
{ classId: 147, className: "COLLECT_147", name: "Collection: Royal Mausoleum Storage", requiredItems: ["misc_jore17","BOW02_106","BlueOrb_FD_Shredded","RedOrb_FD_Shredded","BlueOrb_FD_Deadbornscab","RedOrb_FD_Deadbornscab","BlueOrb_FD_Hallowventor","RedOrb_FD_Hallowventor"], rewardAccountProperties: "", rewardItems: "" },
{ classId: 148, className: "COLLECT_148", name: "Collection: Rukas Plateau", requiredItems: ["misc_0061","misc_hogma_warrior2","wood_01","BRC02_105"], rewardAccountProperties: "", rewardItems: "" },
{ classId: 149, className: "COLLECT_149", name: "Collection: King's Plateau", requiredItems: ["misc_0061","Hat_628040","HAND01_114","HAND01_113","BOW02_114"], rewardAccountProperties: "", rewardItems: "" },
{ classId: 150, className: "COLLECT_150", name: "Collection: Zachariel Crossroads", requiredItems: ["misc_Tontulia","misc_Repusbunny","TSP01_101","BRC01_128","MAC02_116"], rewardAccountProperties: "", rewardItems: "" },
{ classId: 151, className: "COLLECT_151", name: "Collection: Royal Mausoleum 1F", requiredItems: ["misc_0062","misc_varv2","misc_0105","misc_0063","misc_Karas"], rewardAccountProperties: "", rewardItems: "" },
{ classId: 152, className: "COLLECT_152", name: "Collection: Royal Mausoleum 2F", requiredItems: ["misc_0064","misc_0104","misc_0065","NECK01_129","MAC01_110","SPR01_105"], rewardAccountProperties: "", rewardItems: "" },
{ classId: 153, className: "COLLECT_153", name: "Collection: Royal Mausoleum 3F", requiredItems: ["misc_shtayim","misc_0094","misc_0065","TOP01_114","LEG01_153","TBW01_110"], rewardAccountProperties: "", rewardItems: "" },
{ classId: 154, className: "COLLECT_154", name: "Collection: Royal Mausoleum 4F", requiredItems: ["misc_schlesien_guard","misc_0093","TSW01_108","TOP01_153","TSP01_101"], rewardAccountProperties: "", rewardItems: "" },
{ classId: 155, className: "COLLECT_155", name: "Collection: Royal Mausoleum 5F", requiredItems: ["misc_schlesien_darkmage","misc_schlesien_darkmage3","food_016","misc_jore06","misc_0070"], rewardAccountProperties: "", rewardItems: "" },
{ classId: 156, className: "COLLECT_156", name: "Collection: Baron Allerno ", requiredItems: ["misc_Haming2","food_Popolion","TBW02_106","SWD01_110","FOOT01_113","NECK02_106"], rewardAccountProperties: "", rewardItems: "" },
{ classId: 157, className: "COLLECT_157", name: "Collection: Myrkiti Farm", requiredItems: ["misc_ellom","misc_0140","misc_0044","misc_0135","LEG01_113","BRC02_106"], rewardAccountProperties: "", rewardItems: "" },
{ classId: 158, className: "COLLECT_158", name: "Collection: Aqueduct Bridge Area", requiredItems: ["misc_0135","misc_0155","misc_0109","misc_0139","HAND01_115"], rewardAccountProperties: "", rewardItems: "" },
{ classId: 159, className: "COLLECT_159", name: "Collection: Tenants' Farm", requiredItems: ["misc_Geppetto2","misc_Pino","Gem_Bokor_Mackangdal","Gem_Wugushi_NeedleBlow"], rewardAccountProperties: "", rewardItems: "" },
{ classId: 160, className: "COLLECT_160", name: "Collection: Stele Road", requiredItems: ["wood_03","misc_0071","misc_Tama","wood_02","food_005"], rewardAccountProperties: "", rewardItems: "" },
{ classId: 161, className: "COLLECT_161", name: "Collection: Goddess' Ancient Garden", requiredItems: ["misc_resin","misc_jore01","food_004","misc_Lizardman","misc_Lizardman2","misc_jore10","misc_0074"], rewardAccountProperties: "", rewardItems: "" },
{ classId: 162, className: "COLLECT_162", name: "Collection: Escanciu Village", requiredItems: ["misc_0075","misc_0097","misc_0076","SHD01_113"], rewardAccountProperties: "", rewardItems: "" },
{ classId: 163, className: "COLLECT_163", name: "Collection: Fedimian Suburbs", requiredItems: ["misc_Hallowventor","misc_0077","misc_jore04","misc_Cockatries","misc_Big_Cockatries2","misc_0078","Hat_628015"], rewardAccountProperties: "", rewardItems: "" },
{ classId: 164, className: "COLLECT_164", name: "Collection: Crystal Mine Lot 2 - 1F", requiredItems: ["LEG01_122","misc_Minos1","LEG01_122","MAC02_104","TBW01_130"], rewardAccountProperties: "", rewardItems: "" },
{ classId: 165, className: "COLLECT_165", name: "Collection: Crystal Mine Lot 2 - 2F", requiredItems: ["TOP01_122","misc_Stoulet","misc_Stoulet1","misc_0119","TSF01_122","STF02_104"], rewardAccountProperties: "", rewardItems: "" },
{ classId: 166, className: "COLLECT_166", name: "Collection: Entrance of Kateen Forest", requiredItems: ["misc_ellom","misc_0127","misc_Bushspider_purple","misc_Fisherman","STF01_130"], rewardAccountProperties: "", rewardItems: "" },
{ classId: 167, className: "COLLECT_167", name: "Collection: Owl Burial Ground", requiredItems: ["misc_ellomago","misc_0128","misc_0129","R_SPR01_112","R_FOOT01_138","NECK02_109"], rewardAccountProperties: "", rewardItems: "" },
{ classId: 168, className: "COLLECT_168", name: "Collection: Poslinkis Forest", requiredItems: ["misc_Bume_Goblin","BRC01_132","misc_arburn_pokubu_blue2","BRC01_132"], rewardAccountProperties: "", rewardItems: "" },
{ classId: 169, className: "COLLECT_169", name: "Collection: Saknis Plains", requiredItems: ["DAG01_101","misc_Fisherman","NECK02_108","R_TSP02_102"], rewardAccountProperties: "", rewardItems: "" },
{ classId: 170, className: "COLLECT_170", name: "Collection: Mage Tower 1F", requiredItems: ["misc_0100","misc_Fire_Dragon2","misc_0079","misc_0117","misc_rublem","misc_rublem2","misc_0080","misc_Armory"], rewardAccountProperties: "", rewardItems: "" },
{ classId: 171, className: "COLLECT_171", name: "Collection: Mage Tower 2F", requiredItems: ["misc_0081","misc_tower_of_firepuppet2","misc_jore09","misc_jore11","misc_chromadog","Hat_628036"], rewardAccountProperties: "", rewardItems: "" },
{ classId: 172, className: "COLLECT_172", name: "Collection: Mage Tower 3F", requiredItems: ["misc_0083","misc_0084","NECK01_137","misc_TerraNymph"], rewardAccountProperties: "", rewardItems: "" },
{ classId: 173, className: "COLLECT_173", name: "Collection: Mage Tower 4F", requiredItems: ["misc_0121","misc_0118","Hat_628058","misc_0086","misc_minivern","food_030"], rewardAccountProperties: "", rewardItems: "" },
{ classId: 174, className: "COLLECT_174", name: "Collection: Mage Tower 5F", requiredItems: ["misc_0088","misc_0089","misc_0100","misc_Fire_Dragon2"], rewardAccountProperties: "", rewardItems: "" },
{ classId: 175, className: "COLLECT_175", name: "Collection: Dvasia Peak", requiredItems: ["misc_0132","misc_0133","misc_0134","TSW02_117","ABAND01_103","R_TBW01_131"], rewardAccountProperties: "", rewardItems: "" },
{ classId: 176, className: "COLLECT_176", name: "Collection: Sunset Flag Forest", requiredItems: ["misc_0135","misc_0136","misc_0137","misc_0138","misc_Infroholder"], rewardAccountProperties: "", rewardItems: "" },
{ classId: 177, className: "COLLECT_177", name: "Collection: Starving Demon's Way", requiredItems: ["misc_0139","misc_0139","misc_0140","BOW01_124","SPR01_113","R_HAND01_140"], rewardAccountProperties: "", rewardItems: "" },
{ classId: 178, className: "COLLECT_178", name: "Collection: Pilgrim Path", requiredItems: ["misc_0141","misc_Rubabos","misc_0184","FOOT01_140","R_TSP02_104"], rewardAccountProperties: "", rewardItems: "" },
{ classId: 179, className: "COLLECT_179", name: "Collection: Altar Way", requiredItems: ["misc_0143","misc_0144","Drug_lapasape","TSP02_110","TSW02_110"], rewardAccountProperties: "", rewardItems: "" },
{ classId: 180, className: "COLLECT_180", name: "Collection: Forest of Prayer", requiredItems: ["Gem_Barbarian_Pouncing","misc_kowak","misc_Stoulet","misc_Stoulet1"], rewardAccountProperties: "", rewardItems: "" },
{ classId: 181, className: "COLLECT_181", name: "Collection: Apsimesti Crossroads", requiredItems: ["misc_0097","misc_0071","BOW01_125","R_BRC01_133","TSF01_124"], rewardAccountProperties: "", rewardItems: "" },
{ classId: 182, className: "COLLECT_182", name: "Collection: Residence of the Fallen Legwyn Family", requiredItems: ["misc_TerraNymph","Gem_Rodelero_ShieldBash","misc_TerraNymph","STF01_132","MAC01_131","R_SPR02_106","R_TBW01_132"], rewardAccountProperties: "", rewardItems: "" },
{ classId: 183, className: "COLLECT_183", name: "Collection: Main Building", requiredItems: ["misc_0148","misc_0149","DAG01_102","SWD01_132","TSP01_105"], rewardAccountProperties: "", rewardItems: "" },
{ classId: 184, className: "COLLECT_184", name: "Collection: Grand Corridor", requiredItems: ["misc_Stoulet","misc_Stoulet1","LEG01_144","FOOT01_144","TSW01_124"], rewardAccountProperties: "", rewardItems: "" },
{ classId: 185, className: "COLLECT_185", name: "Collection: Penitence Route", requiredItems: ["misc_0136","misc_0152","misc_0136","misc_0152","misc_0136","misc_0152","misc_0136","misc_0152","misc_0136"], rewardAccountProperties: "", rewardItems: "" },
{ classId: 186, className: "COLLECT_186", name: "Collection: Sanctuary", requiredItems: ["misc_pawn1","SHD01_116","STF02_108","gem_star_1"], rewardAccountProperties: "", rewardItems: "" },
{ classId: 187, className: "COLLECT_187", name: "Collection: Greene Manor", requiredItems: ["misc_0165","misc_jore10","misc_0166","BRC01_134","FOOT01_146"], rewardAccountProperties: "", rewardItems: "" },
{ classId: 188, className: "COLLECT_188", name: "Collection: Shaton Farm", requiredItems: ["misc_0167","misc_0168","LEG01_146","food_014"], rewardAccountProperties: "", rewardItems: "" },
{ classId: 189, className: "COLLECT_189", name: "Collection: Shaton Reservoir", requiredItems: ["tree_root_mole1","misc_0170","NECK01_139","TOP01_146"], rewardAccountProperties: "", rewardItems: "" },
{ classId: 190, className: "COLLECT_190", name: "Collection: Demon Prison District 1", requiredItems: ["misc_0156","misc_0157","misc_egnome2","misc_0158","misc_0147","R_TSP02_105"], rewardAccountProperties: "", rewardItems: "" },
{ classId: 191, className: "COLLECT_191", name: "Collection: Demon Prison District 2", requiredItems: ["misc_0161","misc_0183","TOP01_145","LEG01_145","DAG01_103"], rewardAccountProperties: "", rewardItems: "" },
{ classId: 192, className: "COLLECT_192", name: "Collection: Demon Prison District 3", requiredItems: ["misc_0162","misc_0131","misc_0163","misc_0139","STF01_133"], rewardAccountProperties: "", rewardItems: "" },
{ classId: 193, className: "COLLECT_193", name: "Collection: Demon Prison District 4", requiredItems: ["gem_circle_1","gem_square_1","gem_circle_1","gem_square_1","gem_circle_1","gem_square_1","gem_circle_1","gem_square_1","gem_circle_1"], rewardAccountProperties: "", rewardItems: "" },
{ classId: 194, className: "COLLECT_194", name: "Collection: Demon Prison District 5", requiredItems: ["misc_0164","misc_Mushroom_boy","SWD01_133","BlueOrb_Hohen_gulak","RedOrb_Hohen_gulak"], rewardAccountProperties: "", rewardItems: "" },
{ classId: 195, className: "COLLECT_195", name: "Collection: Dina Bee Farm", requiredItems: ["misc_0171","misc_0172","misc_0173","misc_0174","misc_0175","misc_0173"], rewardAccountProperties: "", rewardItems: "" },
{ classId: 196, className: "COLLECT_196", name: "Collection: Vilna Forest", requiredItems: ["misc_0176","misc_0153","misc_0177","misc_0178"], rewardAccountProperties: "", rewardItems: "" },
{ classId: 197, className: "COLLECT_197", name: "Collection: Uskis Arable Land", requiredItems: ["misc_zigri","misc_mushroom_ent","misc_0179","misc_0178","SPR02_107"], rewardAccountProperties: "", rewardItems: "" },
{ classId: 198, className: "COLLECT_198", name: "Collection: Spring Light Woods", requiredItems: ["misc_0181","misc_0178","BRC02_109","DAG01_104","R_NECK01_140"], rewardAccountProperties: "", rewardItems: "" },
{ classId: 199, className: "COLLECT_199", name: "Collection: 2nd Demon Prison", requiredItems: ["misc_0058","R_NECK02_112","MAC01_132","TBW01_133"], rewardAccountProperties: "", rewardItems: "" },
{ classId: 200, className: "COLLECT_200", name: "Collection: Nuoridin Falls", requiredItems: ["misc_jore10","misc_Minos1","HAND01_148","TSW01_126","SHD01_117"], rewardAccountProperties: "", rewardItems: "" },
{ classId: 201, className: "COLLECT_201", name: "Collection: Namu Temple Ruins", requiredItems: ["misc_jore10","misc_Minos1","STF01_134","SPR01_116","TBW01_134"], rewardAccountProperties: "", rewardItems: "" },
{ classId: 202, className: "COLLECT_202", name: "Collection: Istora Ruins", requiredItems: ["misc_Hallowventor","misc_0077","BOW01_127","TOP01_148","LEG01_148"], rewardAccountProperties: "", rewardItems: "" },
{ classId: 203, className: "COLLECT_203", name: "Collection: Glade Hillroad", requiredItems: ["misc_0092","misc_Velwriggler","MAC01_133","HAND01_149","SWD01_134","PST01_101"], rewardAccountProperties: "", rewardItems: "" },
{ classId: 204, className: "COLLECT_204", name: "Collection: Viltis Forest", requiredItems: ["FOOT01_149","R_BRC02_110","TSF01_126","FOOT01_147"], rewardAccountProperties: "", rewardItems: "" },
{ classId: 205, className: "COLLECT_205", name: "Collection: Laukyme Swamp", requiredItems: ["misc_0149","LEG01_147","LEG01_149","TSP02_107"], rewardAccountProperties: "", rewardItems: "" },
{ classId: 206, className: "COLLECT_206", name: "Collection: Tyla Monastery", requiredItems: ["misc_kowak","misc_kowak","misc_kowak","misc_kowak","misc_kowak","misc_kowak","misc_kowak","misc_kowak","misc_kowak"], rewardAccountProperties: "", rewardItems: "" },
{ classId: 207, className: "COLLECT_207", name: "Collection: Roxona Reconstruction Agency West Building", requiredItems: ["misc_0138","misc_anchor","R_TOP03_111","R_LEG03_111","DAG01_105"], rewardAccountProperties: "", rewardItems: "" },
{ classId: 208, className: "COLLECT_208", name: "Collection: Roxona Reconstruction Agency East Building", requiredItems: ["misc_velffigy","misc_glyquare","misc_0148","R_TOP03_112","R_LEG03_112","R_RAP03_101"], rewardAccountProperties: "", rewardItems: "" },
{ classId: 209, className: "COLLECT_209", name: "Collection: Verkti Square", requiredItems: ["misc_0010","misc_Rambear","misc_goblin","TSP01_109","TBW01_135","NECK01_141"], rewardAccountProperties: "", rewardItems: "" },
{ classId: 210, className: "COLLECT_210", name: "Collection: Roxona Marketplace", requiredItems: ["misc_Bavon","misc_0147","TSW01_127","RAP01_102","TSF01_127"], rewardAccountProperties: "", rewardItems: "" },
{ classId: 211, className: "COLLECT_211", name: "Collection: Ruklys Street", requiredItems: ["misc_Denden","misc_Denden","misc_Denden","misc_Denden","misc_Denden","misc_Denden","misc_Denden","misc_Denden","misc_Denden"], rewardAccountProperties: "", rewardItems: "" },
{ classId: 212, className: "COLLECT_212", name: "Collection: Downtown", requiredItems: ["misc_Lemur","misc_goblin","BRC02_111","SPR01_117"], rewardAccountProperties: "", rewardItems: "" },
{ classId: 213, className: "COLLECT_213", name: "Collection: Inner Enceinte District", requiredItems: ["misc_Rubabos","misc_Repusbunny","misc_Lemuria","misc_0160","RAP02_102"], rewardAccountProperties: "", rewardItems: "" },
{ classId: 214, className: "COLLECT_214", name: "Collection: Mokusul Chamber", requiredItems: ["misc_Ticen","misc_Rambear","BOW01_128","STF01_135","PST02_103"], rewardAccountProperties: "", rewardItems: "" },
{ classId: 215, className: "COLLECT_215", name: "Collection: Underground Grave of Ritinis", requiredItems: ["misc_0071","misc_Ticen","R_RAP04_101","MAC01_134"], rewardAccountProperties: "", rewardItems: "" },
{ classId: 216, className: "COLLECT_216", name: "Collection: Videntis Shrine", requiredItems: ["misc_0162","R_TBW02_110","misc_velffigy","misc_velffigy","misc_velffigy","misc_velffigy","misc_velffigy"], rewardAccountProperties: "", rewardItems: "" },
{ classId: 217, className: "COLLECT_217", name: "Collection: Valius' Eternal Resting Place", requiredItems: ["gem_diamond_1","gem_diamond_1","gem_diamond_1","gem_diamond_1","gem_diamond_1","gem_diamond_1","gem_diamond_1","gem_diamond_1","gem_diamond_1"], rewardAccountProperties: "", rewardItems: "" },
{ classId: 218, className: "COLLECT_218", name: "Collection: Lemprasa Pond", requiredItems: ["Hat_628054","misc_0002","misc_0004","misc_0006","misc_chupacabra2","misc_0008","misc_0153"], rewardAccountProperties: "", rewardItems: "" },
{ classId: 219, className: "COLLECT_219", name: "Collection: Woods of the Linked Bridges", requiredItems: ["misc_0010","NECK01_122","misc_0001","misc_0009","TSF01_110"], rewardAccountProperties: "", rewardItems: "" },
{ classId: 220, className: "COLLECT_220", name: "Collection: Paupys Crossing", requiredItems: ["food_Popolion","leaf_hanaming","TOP01_103","TBW01_118","misc_0001"], rewardAccountProperties: "", rewardItems: "" },
{ classId: 221, className: "COLLECT_221", name: "Collection: Ashaq Underground Prison 1F", requiredItems: ["misc_0242","misc_0016","SHD01_102","HAND01_104","BOW01_114"], rewardAccountProperties: "", rewardItems: "" },
{ classId: 222, className: "COLLECT_222", name: "Collection: Ashaq Underground Prison 2F", requiredItems: ["misc_0119","misc_bat2","TBW01_120","SWD01_120","BRC01_124"], rewardAccountProperties: "", rewardItems: "" },
{ classId: 223, className: "COLLECT_223", name: "Collection: Ashaq Underground Prison 3F", requiredItems: ["misc_0062","misc_varv2","STF01_120","NECK01_124","misc_GoblinWarrior_blue"], rewardAccountProperties: "", rewardItems: "" },
{ classId: 224, className: "COLLECT_224", name: "Collection: Koru Jungle", requiredItems: ["misc_0269","misc_0270","misc_0013","misc_0271","FOOT01_105","HAND01_105"], rewardAccountProperties: "", rewardItems: "" },
{ classId: 225, className: "COLLECT_225", name: "Collection: Knidos Jungle", requiredItems: ["misc_0272","misc_0273","Drug_lapasape","NECK01_125"], rewardAccountProperties: "", rewardItems: "" },
{ classId: 226, className: "COLLECT_226", name: "Collection: Dadan Jungle", requiredItems: ["misc_Grummer","HAND01_106","misc_0274","misc_0275","HAND01_127"], rewardAccountProperties: "", rewardItems: "" },
{ classId: 227, className: "COLLECT_227", name: "Collection: Nevellet Quarry 1F", requiredItems: ["MAC01_106","STF01_106","misc_0026","misc_Corylus","SWD01_106","misc_ore08","misc_pawn1","Hat_628051"], rewardAccountProperties: "", rewardItems: "" },
{ classId: 228, className: "COLLECT_228", name: "Collection: Nevellet Quarry 2F", requiredItems: ["misc_glizardon","misc_glizardon2","BRC01_126","TBW01_106","FOOT01_106","TSF01_104","TOP01_127","misc_0276","misc_pawn1"], rewardAccountProperties: "", rewardItems: "" },
{ classId: 229, className: "COLLECT_229", name: "Collection: Novaha Assembly Hall", requiredItems: ["SHD01_104","misc_Velwriggler","misc_Spector_Gh","food_016","misc_shtayim","NECK01_126"], rewardAccountProperties: "", rewardItems: "" },
